Innuici - Społeczeństwo zbieracko-łowieckie:	grupa rdzennych ludów obszarów arktycznych i subarktycznych Grenlandii, Kanady, Alaski i Syberii;
Ruchliwość pozioma	zwana jest inaczej horyzontalną. To z kolei przemieszczanie się jednostek albo grup w terenie. Może to być to wyjazd z terenów wiejskich do miasta albo z kontynentu na inny kontynent. Zjawisko to jest związane najczęściej z ruchami migracyjnymi. Przyczynami migracji mogą być kwestie polityczne np. konieczność opuszczenia danego terenu przez decyzje nowych władz czy okupację danego terenu (np. akcja „Wisła") lub może być to kwestia ekonomiczna np. wyjazd z kraju w celu lepszych zarobków w innym.
Klasa średnia 	Po 1989 r. Klasa średnia zaczęła się dynamicznie rozwijać, stając się jednym z filarów nowego społeczeństwa. Jej przedstawiciele inwestowali w edukację, znajomość języków obcych i nowe technologie, podejmując pracę w korporacjach lub zakładając własne firmy. Dzięki temu zyskała stabilność ekonomiczną i coraz większe znaczenie społeczne.
Klasa pracująca	Klasa pracująca, szczególnie robotnicy przemysłowi, najbardziej ucierpiała na skutek transformacji ustrojowej. Likwidacja wielu zakładów pracy doprowadziła do wzrostu bezrobocia, a część pracowników musiała się przebranżowić lub wyemigrować. Grupa ta uległa dużemu zróżnicowaniu, a jej prestiż społeczny osłabł.
Rolnicy i mieszkańcy wsi	musieli zmierzyć się z nowymi warunkami gospodarki rynkowej i konkurencją z Unii Europejskiej. Część z nich unowocześniła swoje gospodarstwa, korzystając z funduszy unijnych, inni natomiast podjęli pracę poza rolnictwem. Wieś polska stała się zróżnicowana - od nowoczesnych gospodarstw po obszary biedy strukturalnej.
Warstwy niższe,	zwłaszcza osoby o niskich kwalifikacjach, miały największe problemy z dostosowaniem się do zmian. Wielu ludzi straciło stabilne źródła utrzymania, popadło w długotrwałe bezrobocie i uzależnienie od pomocy społecznej. Zjawisko wykluczenia społecznego stało się trwałym elementem polskiej rzeczywistości.
Czym są nierówności społeczne?	Nierówności społeczne to nierówny dostęp jednostek do dóbr materialnych i niematerialnych. W Polsce zgodnie z zapisaną w ustawie zasadniczej zasadą sprawiedliwości społecznej, zapewnia się równy dostęp do dóbr kultury, do pracy, nauki i ochrony zdrowia. W RP skala nierówności społecznych utrzymuje się na stałym poziomie, co wynika z demokratycznego ustroju i istotnego znaczenia klasy średniej, która stanowi czynnik stabilizujący. W wyniku rozwoju państwa i możliwości zdobywania wykształcenia na wysokim poziomie (również poza granicami kraju np. na uniwersytetach europejskich) obywatele mogą się swobodnie rozwijać. Mogą prowadzić własną działalność i nie są ograniczani np. zasadami „każdemu to samo" czy „każdemu według jego urodzenia".
Jak porównać skalę nierówności społecznych RP a wybranym państwie?	Współczynnik, który wskazuje na skalę nierówności społecznych został wymyślony przez Corrada Giniego. Z ostatnich danych wynika, że utrzymuje się on w Polsce na poziomie około 30 (gdzie O oznacza pełną równość, a 100 maksymalną nierówność). Dla porównania wskaźnik Giniego dla USA wynosi 42, co związane jest z zanikaniem znaczenia klasy średniej, powiększaniem się klasy niższej i gromadzeniem ogromu kapitału przez nieliczną klasę wyższą.
Jaki jest związek między nierównościami społecznymi, a nierównościami szans życiowych?	Szanse życiowe to po prostu prawdopodobieństwo uzyskania dóbr materialnych bądź niematerialnych, bez względu na czynniki takie jak wiek, narodowość, płeć. Wynikają one z nierówności społecznych, które tworzą bariery w społeczeństwie. Im większa skala nierówności społecznych, tym większe nierówności szans życiowych występujące w państwie.
Mniejszością narodową jest grupa obywateli polskich, która:	jest mniej liczebna od pozostałej części ludności RP; istotnie odróżnia się od pozostałych obywateli językiem, kulturą lub tradycją; dąży do zachowania swojego języka, kultury lub tradycji; ma świadomość własnej historycznej wspólnoty narodowej i chce ją wyrażać i chronić; jej przodkowie zamieszkiwali obecne terytorium RP od co najmniej 100 lat; utożsamia się z narodem zorganizowanym we własnym państwie.
Mniejszością etniczną jest grupa obywateli polskich, która:	jest mniej liczebna od pozostałej części ludności RP; istotnie odróżnia się od pozostałych obywateli językiem, kulturą lub tradycją; dąży do zachowania swojego języka, kultury lub tradycji; ma świadomość własnej historycznej wspólnoty etnicznej i chce ją wyrażać i chronić; jej przodkowie zamieszkiwali obecne terytorium RP od co najmniej 100 lat; nie utożsamia się z narodem zorganizowanym we własnym państwie.
Mniejszościami narodowymi w Polsce są:	Białorusini, Ukraińcy, Litwini, Niemcy, Żydzi, Ormianie, Czesi, 이 Słowacy, Rosjanie.
Mniejszościami etnicznymi w Polsce są:	Tatarzy, Romowie, Karaimi, Łemkowie.
Akulturacja	to proces wzajemnego przenikania się kultur, w którym grupa mniejszościowa przejmuje niektóre elementy kultury większościowej (np. język, zwyczaje, styl życia), zachowując jednocześnie własną tożsamość i tradycje. Przykład: Mniejszość ukraińska w Polsce posługuje się językiem polskim, ale nadal obchodzi swoje święta i kultywuje tradycje.
Asymilacja	to proces całkowitego wchłonięcia mniejszości przez kulturę dominującą, w wyniku którego zanika odrębność kulturowa i tożsamość grupy mniejszościowej. Przykład: Potomkowie Polaków na emigracji, którzy po kilku pokoleniach całkowicie przyjmują kulturę kraju zamieszkania i przestają używać języka polskiego.
Akulturacja może przyjmować kilka modeli, wyróżnia się główne cztery:	asymilacja - uczestnictwo w kulturze kraju przyjmującego z wyzbyciem się własnej np. przymusowa asymilacja Aborygenów prowadzona od połowy XIX wieku; separacja - to brak uczestnictwa w kulturze kraju przyjmującego i jedynie funkcjonowanie wśród własnych wzorców kulturowych np. mieszkanie migrantów z kontynentu afrykańskiego w blokowiskach na przedmieściach Francji; integracja - przyjęcie kultury kraju przyjmującego wraz z zachowaniem własnej np. integracja ludności romskiej w Polsce; marginalizacja - odrzucenie kultury pochodzenia i kultury przyjmującego kraju np. pracujący w Niemczech Turcy, którym nie przyznano praw ani obywatelstwa, tylko pozwolenie na pobyt czasowy i pracę.
Migracja	to ogólne pojęcie oznaczające przemieszczanie się ludzi z jednego miejsca do drugiego, najczęściej w celu zmiany miejsca zamieszkania lub pracy. Może mieć charakter wewnętrzny (w obrębie kraju) lub zewnętrzny (między państwami).
Imigracja	to napływ ludności do danego kraju z zagranicy w celu osiedlenia się, podjęcia pracy lub nauki.
Emigracja	to wyjazd ludności z własnego kraju do innego państwa w celu podjęcia pracy, nauki lub poprawy warunków życia.
Repatriacja	to powrót do ojczyzny osób pochodzenia danego kraju, które przez dłuższy czas mieszkały za granicą, często wbrew własnej woli (np. wskutek deportacji lub zmian granic).
Repatriacja	to dobrowolny powrót osób polskiego pochodzenia do ojczyzny, wspierany przez państwo; ma charakter powrotny i pozytywny.
Wysiedlenie	to przymusowe przesiedlenie ludności z danego terytorium, często bez jej zgody; ma charakter przymusowy i represyjny (np. wysiedlenia Niemców z Polski po 1945 roku).
Czym jest Karta Polaka?	Karta Polaka jest dokumentem potwierdzającym przynależność do narodu polskiego; Karta Polaka nie oznacza posiadania obywatelstwa polskiego ani nie jest dokumentem uprawniającym do przekraczania granicy lub osiedlania się na terytorium Rzeczypospolitej Polskiej, potwierdza jedynie przynależność do narodu polskiego; Karta Polaka nie może zostać przyznana osobie posiadającej obywatelstwo polskie, zezwolenie na pobyt stały na terytorium RP lub posiadającej status bezpaństwowca; może ją uzyskać osoba, która m.in. wykaże swój związek z polskością przez np. podstawową znajomość języka polskiego oraz znajomość i kultywowanie polskich tradycji i zwyczajów, wykaże, że co najmniej jedno z jej rodziców lub dziadków albo dwoje pradziadków było narodowości polskiej lub posiadało obywatelstwo polskie, w obecności konsula Rzeczypospolitej Polskiej złoży pisemną deklarację przynależności do „Narodu Polskiego" i ma pochodzenie polskie.
Jakie uprawnienia daje Karta Polaka?	prawo do otrzymania wizy krajowej uprawniającej do wielokrotnego wjazdu do Polski, prawo do legalnej pracy w Polsce bez konieczności uzyskania zezwolenia, możliwość prowadzenia działalności gospodarczej jak obywatele RP, prawo do bezpłatnego korzystania z publicznej edukacji i pomocy medycznej, pierwszeństwo w staraniach o stypendia i pomoc finansową przy studiach w Polsce, możliwość ubiegania sięo obywatelstwo polskie lub repatriację na uproszczonych zasadach, prawo do bezpłatnego wstępu do muzeów państwowych.
Do najważniejszych przyczyn migracji należą:	ekonomiczne – poszukiwanie zatrudnienia i poprawy poziomu życia, szczególnie wśród ludności z krajów rozwijających się; przykładem są migracje zarobkowe Polaków po 2004 roku do Wielkiej Brytanii, Niemiec i Irlandii. polityczne - ucieczka przed wojnami, prześladowaniami, reżimami autorytarnymi i łamaniem praw człowieka (np. migracje z Syrii, Afganistanu czy Ukrainy). społeczne i demograficzne – łączenie rodzin, wysoki przyrost naturalny w krajach Globalnego Południa oraz proces starzenia się społeczeństw w państwach wysoko rozwiniętych. klimatyczne – skutki globalnego ocieplenia, takie jak pustynnienie, podnoszenie się poziomu mórz, powodzie czy susze, które zmuszają do opuszczania dotychczas zamieszkiwanych terenów (np. migracje z Afryki Subsaharyjskiej, Bangladeszu czy regionu Sahelu). edukacyjne i kulturowe - migracje studentów, specjalistów i naukowców w ramach programów mobilności (np. Erasmus+).
Wyż demograficzny	to okres, w którym liczba urodzeń w danym kraju znacząco rośnie. Wskaźnik urodzeń (liczba urodzeń na 1000 mieszkańców) jest wtedy wysoki, co prowadzi do szybkiego wzrostu populacji. Zjawisko to często występuje po zakończeniu wojen lub w czasie poprawy sytuacji gospodarczej.
Niż demograficzny	to okres, w którym liczba urodzeń znacząco spada. Współczynnik dzietności jest niski (poniżej 2,1 dziecka na kobietę - czyli poziomu zastępowalności pokoleń), co prowadzi do stopniowego zmniejszania się liczby ludności i starzenia społeczeństwa.
	
	
	
	
	

